test dataset: (100000, 2) 

86000 tensor(5.8716e-05, device='cuda:0', grad_fn=<AddBackward0>)
87000 tensor(5.6896e-05, device='cuda:0', grad_fn=<AddBackward0>)
88000 tensor(8.5510e-05, device='cuda:0', grad_fn=<AddBackward0>)
89000 tensor(9.4404e-06, device='cuda:0', grad_fn=<AddBackward0>)
90000 tensor(3.2600e-06, device='cuda:0', grad_fn=<AddBackward0>)
91000 tensor(5.5001e-06, device='cuda:0', grad_fn=<AddBackward0>)
92000 tensor(3.3114e-05, device='cuda:0', grad_fn=<AddBackward0>)
93000 tensor(2.0568e-05, device='cuda:0', grad_fn=<AddBackward0>)
94000 tensor(1.8553e-05, device='cuda:0', grad_fn=<AddBackward0>)
95000 tensor(4.3181e-06, device='cuda:0', grad_fn=<AddBackward0>)
96000 tensor(4.2810e-06, device='cuda:0', grad_fn=<AddBackward0>)
97000 tensor(3.0416e-06, device='cuda:0', grad_fn=<AddBackward0>)
98000 tensor(3.0800e-06, device='cuda:0', grad_fn=<AddBackward0>)
99000 tensor(7.7664e-06, device='cuda:0', grad_fn=<AddBackward0>)
100000 tensor(4.2953e-06, device='cuda:0', grad_fn=<AddBackward0>)
Test residual MSE: 2.5629244e-05
Test RMSE: tensor(0.0086, device='cuda:0', grad_fn=<DivBackward0>)
1000 tensor(1.6092e-06, device='cuda:0', grad_fn=<AddBackward0>)
2000 tensor(1.1879e-06, device='cuda:0', grad_fn=<AddBackward0>)
3000 tensor(1.1512e-06, device='cuda:0', grad_fn=<AddBackward0>)
4000 tensor(1.0554e-06, device='cuda:0', grad_fn=<AddBackward0>)
5000 tensor(1.3940e-06, device='cuda:0', grad_fn=<AddBackward0>)
6000 tensor(1.1424e-06, device='cuda:0', grad_fn=<AddBackward0>)
7000 tensor(9.5675e-07, device='cuda:0', grad_fn=<AddBackward0>)
8000 tensor(1.5592e-06, device='cuda:0', grad_fn=<AddBackward0>)
9000 tensor(7.6245e-07, device='cuda:0', grad_fn=<AddBackward0>)
10000 tensor(1.5914e-06, device='cuda:0', grad_fn=<AddBackward0>)
11000 tensor(9.4391e-07, device='cuda:0', grad_fn=<AddBackward0>)
12000 tensor(1.6244e-06, device='cuda:0', grad_fn=<AddBackward0>)
13000 tensor(7.3534e-07, device='cuda:0', grad_fn=<AddBackward0>)
