test dataset: (100000, 2) 

89000 tensor(0.0090, device='cuda:0', grad_fn=<AddBackward0>)
90000 tensor(0.0123, device='cuda:0', grad_fn=<AddBackward0>)
91000 tensor(0.0077, device='cuda:0', grad_fn=<AddBackward0>)
92000 tensor(0.0081, device='cuda:0', grad_fn=<AddBackward0>)
93000 tensor(0.0093, device='cuda:0', grad_fn=<AddBackward0>)
94000 tensor(0.0090, device='cuda:0', grad_fn=<AddBackward0>)
95000 tensor(0.0096, device='cuda:0', grad_fn=<AddBackward0>)
96000 tensor(0.0083, device='cuda:0', grad_fn=<AddBackward0>)
97000 tensor(0.0080, device='cuda:0', grad_fn=<AddBackward0>)
98000 tensor(0.0090, device='cuda:0', grad_fn=<AddBackward0>)
99000 tensor(0.0073, device='cuda:0', grad_fn=<AddBackward0>)
100000 tensor(0.0087, device='cuda:0', grad_fn=<AddBackward0>)
Test residual MSE: 0.25007296
Test RMSE: tensor(0.8244, device='cuda:0', grad_fn=<DivBackward0>)
1000 tensor(0.0051, device='cuda:0', grad_fn=<AddBackward0>)
2000 tensor(0.0050, device='cuda:0', grad_fn=<AddBackward0>)
3000 tensor(0.0049, device='cuda:0', grad_fn=<AddBackward0>)
4000 tensor(0.0052, device='cuda:0', grad_fn=<AddBackward0>)
5000 tensor(0.0049, device='cuda:0', grad_fn=<AddBackward0>)
6000 tensor(0.0047, device='cuda:0', grad_fn=<AddBackward0>)
7000 tensor(0.0048, device='cuda:0', grad_fn=<AddBackward0>)
8000 tensor(0.0046, device='cuda:0', grad_fn=<AddBackward0>)
9000 tensor(0.0045, device='cuda:0', grad_fn=<AddBackward0>)
10000 tensor(0.0052, device='cuda:0', grad_fn=<AddBackward0>)
11000 tensor(0.0044, device='cuda:0', grad_fn=<AddBackward0>)
12000 tensor(0.0044, device='cuda:0', grad_fn=<AddBackward0>)
13000 tensor(0.0045, device='cuda:0', grad_fn=<AddBackward0>)
14000 tensor(0.0044, device='cuda:0', grad_fn=<AddBackward0>)
15000 tensor(0.0043, device='cuda:0', grad_fn=<AddBackward0>)
16000 tensor(0.0044, device='cuda:0', grad_fn=<AddBackward0>)
17000 tensor(0.0042, device='cuda:0', grad_fn=<AddBackward0>)
18000 tensor(0.0042, device='cuda:0', grad_fn=<AddBackward0>)
19000 tensor(0.0044, device='cuda:0', grad_fn=<AddBackward0>)
20000 tensor(0.0040, device='cuda:0', grad_fn=<AddBackward0>)
21000 tensor(0.0044, device='cuda:0', grad_fn=<AddBackward0>)
22000 tensor(0.0041, device='cuda:0', grad_fn=<AddBackward0>)
23000 tensor(0.0039, device='cuda:0', grad_fn=<AddBackward0>)
24000 tensor(0.0040, device='cuda:0', grad_fn=<AddBackward0>)
25000 tensor(0.0040, device='cuda:0', grad_fn=<AddBackward0>)
26000 tensor(0.0039, device='cuda:0', grad_fn=<AddBackward0>)
27000 tensor(0.0038, device='cuda:0', grad_fn=<AddBackward0>)
28000 tensor(0.0037, device='cuda:0', grad_fn=<AddBackward0>)
29000 tensor(0.0040, device='cuda:0', grad_fn=<AddBackward0>)
30000 tensor(0.0038, device='cuda:0', grad_fn=<AddBackward0>)
31000 tensor(0.0037, device='cuda:0', grad_fn=<AddBackward0>)
32000 tensor(0.0037, device='cuda:0', grad_fn=<AddBackward0>)
33000 tensor(0.0038, device='cuda:0', grad_fn=<AddBackward0>)
34000 tensor(0.0037, device='cuda:0', grad_fn=<AddBackward0>)
35000 tensor(0.0036, device='cuda:0', grad_fn=<AddBackward0>)
36000 tensor(0.0036, device='cuda:0', grad_fn=<AddBackward0>)
37000 tensor(0.0036, device='cuda:0', grad_fn=<AddBackward0>)
38000 tensor(0.0034, device='cuda:0', grad_fn=<AddBackward0>)
39000 tensor(0.0035, device='cuda:0', grad_fn=<AddBackward0>)
40000 tensor(0.0035, device='cuda:0', grad_fn=<AddBackward0>)
41000 tensor(0.0034, device='cuda:0', grad_fn=<AddBackward0>)
42000 tensor(0.0035, device='cuda:0', grad_fn=<AddBackward0>)
43000 tensor(0.0034, device='cuda:0', grad_fn=<AddBackward0>)
44000 tensor(0.0036, device='cuda:0', grad_fn=<AddBackward0>)
45000 tensor(0.0037, device='cuda:0', grad_fn=<AddBackward0>)
46000 tensor(0.0038, device='cuda:0', grad_fn=<AddBackward0>)
47000 tensor(0.0034, device='cuda:0', grad_fn=<AddBackward0>)
48000 tensor(0.0034, device='cuda:0', grad_fn=<AddBackward0>)
49000 tensor(0.0033, device='cuda:0', grad_fn=<AddBackward0>)
50000 tensor(0.0034, device='cuda:0', grad_fn=<AddBackward0>)
51000 tensor(0.0033, device='cuda:0', grad_fn=<AddBackward0>)
