test dataset: (1048576, 2) 

86000 tensor(0.0006, device='cuda:0', grad_fn=<AddBackward0>)
87000 tensor(0.0007, device='cuda:0', grad_fn=<AddBackward0>)
88000 tensor(0.0006, device='cuda:0', grad_fn=<AddBackward0>)
89000 tensor(0.0006, device='cuda:0', grad_fn=<AddBackward0>)
90000 tensor(0.0006, device='cuda:0', grad_fn=<AddBackward0>)
91000 tensor(0.0006, device='cuda:0', grad_fn=<AddBackward0>)
92000 tensor(0.0006, device='cuda:0', grad_fn=<AddBackward0>)
93000 tensor(0.0006, device='cuda:0', grad_fn=<AddBackward0>)
94000 tensor(0.0006, device='cuda:0', grad_fn=<AddBackward0>)
95000 tensor(0.0006, device='cuda:0', grad_fn=<AddBackward0>)
96000 tensor(0.0006, device='cuda:0', grad_fn=<AddBackward0>)
97000 tensor(0.0006, device='cuda:0', grad_fn=<AddBackward0>)
98000 tensor(0.0006, device='cuda:0', grad_fn=<AddBackward0>)
99000 tensor(0.0006, device='cuda:0', grad_fn=<AddBackward0>)
100000 tensor(0.0006, device='cuda:0', grad_fn=<AddBackward0>)
Test residual MSE: 0.018186852
Test RMSE: tensor(0.0178, device='cuda:0', grad_fn=<DivBackward0>)
