test dataset: (1048576, 2) 

89000 tensor(0.1230, device='cuda:0', grad_fn=<AddBackward0>)
90000 tensor(0.1584, device='cuda:0', grad_fn=<AddBackward0>)
91000 tensor(0.1081, device='cuda:0', grad_fn=<AddBackward0>)
92000 tensor(0.1138, device='cuda:0', grad_fn=<AddBackward0>)
93000 tensor(0.1186, device='cuda:0', grad_fn=<AddBackward0>)
94000 tensor(0.1074, device='cuda:0', grad_fn=<AddBackward0>)
95000 tensor(0.1071, device='cuda:0', grad_fn=<AddBackward0>)
96000 tensor(0.0979, device='cuda:0', grad_fn=<AddBackward0>)
97000 tensor(0.1077, device='cuda:0', grad_fn=<AddBackward0>)
98000 tensor(0.9436, device='cuda:0', grad_fn=<AddBackward0>)
99000 tensor(0.4260, device='cuda:0', grad_fn=<AddBackward0>)
100000 tensor(0.3019, device='cuda:0', grad_fn=<AddBackward0>)
Test residual MSE: 2.0886817
Test RMSE: tensor(0.5667, device='cuda:0', grad_fn=<DivBackward0>)
1000 tensor(0.2527, device='cuda:0', grad_fn=<AddBackward0>)
2000 tensor(0.2271, device='cuda:0', grad_fn=<AddBackward0>)
3000 tensor(0.2063, device='cuda:0', grad_fn=<AddBackward0>)
4000 tensor(0.1908, device='cuda:0', grad_fn=<AddBackward0>)
5000 tensor(0.1779, device='cuda:0', grad_fn=<AddBackward0>)
6000 tensor(0.1681, device='cuda:0', grad_fn=<AddBackward0>)
7000 tensor(0.1599, device='cuda:0', grad_fn=<AddBackward0>)
8000 tensor(0.1528, device='cuda:0', grad_fn=<AddBackward0>)
9000 tensor(0.1479, device='cuda:0', grad_fn=<AddBackward0>)
10000 tensor(0.1421, device='cuda:0', grad_fn=<AddBackward0>)
11000 tensor(0.1384, device='cuda:0', grad_fn=<AddBackward0>)
12000 tensor(0.1362, device='cuda:0', grad_fn=<AddBackward0>)
13000 tensor(0.1321, device='cuda:0', grad_fn=<AddBackward0>)
14000 tensor(0.1294, device='cuda:0', grad_fn=<AddBackward0>)
15000 tensor(0.1279, device='cuda:0', grad_fn=<AddBackward0>)
16000 tensor(0.1239, device='cuda:0', grad_fn=<AddBackward0>)
17000 tensor(0.1220, device='cuda:0', grad_fn=<AddBackward0>)
18000 tensor(0.1193, device='cuda:0', grad_fn=<AddBackward0>)
19000 tensor(0.1210, device='cuda:0', grad_fn=<AddBackward0>)
20000 tensor(0.1163, device='cuda:0', grad_fn=<AddBackward0>)
21000 tensor(0.1172, device='cuda:0', grad_fn=<AddBackward0>)
22000 tensor(0.1137, device='cuda:0', grad_fn=<AddBackward0>)
23000 tensor(0.1109, device='cuda:0', grad_fn=<AddBackward0>)
24000 tensor(0.1109, device='cuda:0', grad_fn=<AddBackward0>)
25000 tensor(0.1105, device='cuda:0', grad_fn=<AddBackward0>)
26000 tensor(0.1074, device='cuda:0', grad_fn=<AddBackward0>)
27000 tensor(0.1064, device='cuda:0', grad_fn=<AddBackward0>)
28000 tensor(0.1049, device='cuda:0', grad_fn=<AddBackward0>)
29000 tensor(0.1047, device='cuda:0', grad_fn=<AddBackward0>)
30000 tensor(0.1027, device='cuda:0', grad_fn=<AddBackward0>)
31000 tensor(0.1027, device='cuda:0', grad_fn=<AddBackward0>)
32000 tensor(0.1025, device='cuda:0', grad_fn=<AddBackward0>)
33000 tensor(0.1000, device='cuda:0', grad_fn=<AddBackward0>)
34000 tensor(0.0991, device='cuda:0', grad_fn=<AddBackward0>)
35000 tensor(0.0983, device='cuda:0', grad_fn=<AddBackward0>)
36000 tensor(0.0992, device='cuda:0', grad_fn=<AddBackward0>)
37000 tensor(0.1003, device='cuda:0', grad_fn=<AddBackward0>)
38000 tensor(0.0969, device='cuda:0', grad_fn=<AddBackward0>)
39000 tensor(0.0964, device='cuda:0', grad_fn=<AddBackward0>)
40000 tensor(0.0969, device='cuda:0', grad_fn=<AddBackward0>)
41000 tensor(0.0944, device='cuda:0', grad_fn=<AddBackward0>)
42000 tensor(0.0942, device='cuda:0', grad_fn=<AddBackward0>)
43000 tensor(0.0941, device='cuda:0', grad_fn=<AddBackward0>)
44000 tensor(0.1004, device='cuda:0', grad_fn=<AddBackward0>)
45000 tensor(0.0930, device='cuda:0', grad_fn=<AddBackward0>)
46000 tensor(0.0911, device='cuda:0', grad_fn=<AddBackward0>)
47000 tensor(0.0895, device='cuda:0', grad_fn=<AddBackward0>)
48000 tensor(0.0895, device='cuda:0', grad_fn=<AddBackward0>)
49000 tensor(0.0898, device='cuda:0', grad_fn=<AddBackward0>)
50000 tensor(0.0911, device='cuda:0', grad_fn=<AddBackward0>)
51000 tensor(0.0877, device='cuda:0', grad_fn=<AddBackward0>)
52000 tensor(0.0894, device='cuda:0', grad_fn=<AddBackward0>)
53000 tensor(0.0872, device='cuda:0', grad_fn=<AddBackward0>)
54000 tensor(0.0875, device='cuda:0', grad_fn=<AddBackward0>)
55000 tensor(0.0853, device='cuda:0', grad_fn=<AddBackward0>)
56000 tensor(0.0879, device='cuda:0', grad_fn=<AddBackward0>)
57000 tensor(0.0890, device='cuda:0', grad_fn=<AddBackward0>)
58000 tensor(0.0866, device='cuda:0', grad_fn=<AddBackward0>)
59000 tensor(0.0842, device='cuda:0', grad_fn=<AddBackward0>)
60000 tensor(0.0854, device='cuda:0', grad_fn=<AddBackward0>)
61000 tensor(0.0832, device='cuda:0', grad_fn=<AddBackward0>)
62000 tensor(0.0849, device='cuda:0', grad_fn=<AddBackward0>)
63000 tensor(0.0838, device='cuda:0', grad_fn=<AddBackward0>)
64000 tensor(0.0826, device='cuda:0', grad_fn=<AddBackward0>)
65000 tensor(0.0824, device='cuda:0', grad_fn=<AddBackward0>)
66000 tensor(0.0841, device='cuda:0', grad_fn=<AddBackward0>)
67000 tensor(0.0825, device='cuda:0', grad_fn=<AddBackward0>)
68000 tensor(0.0856, device='cuda:0', grad_fn=<AddBackward0>)
69000 tensor(0.0820, device='cuda:0', grad_fn=<AddBackward0>)
70000 tensor(0.0789, device='cuda:0', grad_fn=<AddBackward0>)
71000 tensor(0.0805, device='cuda:0', grad_fn=<AddBackward0>)
72000 tensor(0.0820, device='cuda:0', grad_fn=<AddBackward0>)
73000 tensor(0.0833, device='cuda:0', grad_fn=<AddBackward0>)
74000 tensor(0.0790, device='cuda:0', grad_fn=<AddBackward0>)
75000 tensor(0.0797, device='cuda:0', grad_fn=<AddBackward0>)
76000 tensor(0.0784, device='cuda:0', grad_fn=<AddBackward0>)
77000 tensor(0.0798, device='cuda:0', grad_fn=<AddBackward0>)
78000 tensor(0.0782, device='cuda:0', grad_fn=<AddBackward0>)
79000 tensor(0.0770, device='cuda:0', grad_fn=<AddBackward0>)
80000 tensor(0.0768, device='cuda:0', grad_fn=<AddBackward0>)
81000 tensor(0.0764, device='cuda:0', grad_fn=<AddBackward0>)
82000 tensor(0.0771, device='cuda:0', grad_fn=<AddBackward0>)
83000 tensor(0.0760, device='cuda:0', grad_fn=<AddBackward0>)
84000 tensor(0.0743, device='cuda:0', grad_fn=<AddBackward0>)
85000 tensor(0.0797, device='cuda:0', grad_fn=<AddBackward0>)
86000 tensor(0.0742, device='cuda:0', grad_fn=<AddBackward0>)
87000 tensor(0.0743, device='cuda:0', grad_fn=<AddBackward0>)
88000 tensor(0.0741, device='cuda:0', grad_fn=<AddBackward0>)
89000 tensor(0.0744, device='cuda:0', grad_fn=<AddBackward0>)
90000 tensor(0.0752, device='cuda:0', grad_fn=<AddBackward0>)
91000 tensor(0.0755, device='cuda:0', grad_fn=<AddBackward0>)
92000 tensor(0.0730, device='cuda:0', grad_fn=<AddBackward0>)
93000 tensor(0.0736, device='cuda:0', grad_fn=<AddBackward0>)
94000 tensor(0.0740, device='cuda:0', grad_fn=<AddBackward0>)
95000 tensor(0.0734, device='cuda:0', grad_fn=<AddBackward0>)
96000 tensor(0.0708, device='cuda:0', grad_fn=<AddBackward0>)
97000 tensor(0.0720, device='cuda:0', grad_fn=<AddBackward0>)
98000 tensor(0.0743, device='cuda:0', grad_fn=<AddBackward0>)
99000 tensor(0.0720, device='cuda:0', grad_fn=<AddBackward0>)
100000 tensor(0.0701, device='cuda:0', grad_fn=<AddBackward0>)
Test residual MSE: 66.27286
Test RMSE: tensor(0.7664, device='cuda:0', grad_fn=<DivBackward0>)
